Timestamp,ShotType,Entropy,EntropyVariance,CutDetected,Prob_ShotType_CLOSE_UP,Prob_ShotType_MEDIUM,Prob_ShotType_WIDE,Prob_ShotType_UNKNOWN
38955.6,WIDE,0.881291,0.0703403,0,0,0,1,0
38997.3,WIDE,0.934068,0.0689546,0,0,0,1,0
39039,WIDE,0.970951,0.0695126,0,0,0,1,0
39080.7,WIDE,0.992774,0.0708247,0,0,0.333333,0.666667,0
39122.4,MEDIUM,1,0.0722276,0,0,0.666667,0.333333,0
39164.1,MEDIUM,1,0.0733746,0,0,1,0,0
39205.8,MEDIUM,1,0.0741304,1,0,1,0,0
39247.5,MEDIUM,1,0.0745058,0,0,1,0,0
39289.2,MEDIUM,1,0.0746107,0,0,1,0,0
39331,MEDIUM,1,0.0746144,0,0,1,0,0
39372.7,MEDIUM,1,0.0747064,0,0,1,0,0
39414.4,MEDIUM,1,0.075056,0,0,1,0,0
39456.1,MEDIUM,1,0.0757632,0,0,1,0,0
39497.8,MEDIUM,1,0.0767981,0,0,0.666667,0.333333,0
39539.5,WIDE,1,0.0779179,0,0,0.333333,0.666667,0
39581.2,WIDE,1,0.0785479,0,0,0,1,0
39622.9,WIDE,1,0.0775918,1,0,0,1,0
39664.6,WIDE,1,0.0730868,0,0,0,1,0
39706.3,WIDE,1,0.0614076,0,0,0,1,0
39748,WIDE,1,0.0330105,0,0,0,1,0
39789.8,WIDE,1,0.0176963,0,0,0,1,0
39831.5,WIDE,1,0.00908514,0,0,0,1,0
39873.2,WIDE,1,0.00433087,0,0,0,1,0
39914.9,WIDE,1,0.00185132,0,0,0.333333,0.666667,0
39956.6,MEDIUM,1,0.000674465,0,0,0.666667,0.333333,0
39998.3,MEDIUM,1,0.000192047,0,0,1,0,0
40040,MEDIUM,1,3.6009e-05,1,0,1,0,0
40081.7,MEDIUM,1,2.98197e-06,0,0,1,0,0
40123.4,MEDIUM,1,1.02827e-07,0,0,1,0,0
40165.1,MEDIUM,1,3.54575e-09,0,0,1,0,0
40206.8,MEDIUM,1,1.74041e-06,0,0,1,0,0
40248.5,MEDIUM,1,2.94467e-05,0,0,1,0,0
40290.2,MEDIUM,1,0.000169805,0,0,1,0,0
40332,MEDIUM,1,0.000616481,0,0,0.666667,0.333333,0
40373.7,WIDE,1,0.00172324,0,0,0.333333,0.666667,0
40415.4,WIDE,0.992774,0.00407701,0,0,0,1,0
40457.1,WIDE,0.970951,0.00861551,0,0,0,1,0
40498.8,WIDE,0.934068,0.0168551,0,0,0,1,0
40540.5,WIDE,0.881291,0.0314742,0,0,0,1,0
40582.2,WIDE,0.811278,0.0599727,0,0,0,1,0
40623.9,WIDE,0.721928,0.0866508,0,0,0,1,0
40665.6,WIDE,0.60984,0.110967,0,0,0,1,0
40707.3,WIDE,0.468996,0.132904,0,0,0,1,0
40749,WIDE,0.286397,0.152459,0,0,0,1,0
40790.8,WIDE,0,0.169633,0,0,0,1,0
40832.5,WIDE,0,0.184427,0,0,0,1,0
40874.2,WIDE,0,0.196839,0,0,0,1,0
40915.9,WIDE,0,0.206871,0,0,0,1,0
40957.6,WIDE,0,0.214521,0,0,0,1,0
40999.3,WIDE,0,0.219791,0,0,0,1,0
41041,WIDE,0,0.22268,0,0,0,1,0
41082.7,WIDE,0,0.223187,0,0,0,1,0
41124.4,WIDE,0,0.221314,0,0,0,1,0
41166.1,WIDE,0,0.21706,0,0,0,1,0
41207.8,WIDE,0,0.210425,0,0,0,1,0
41249.5,WIDE,0,0.201409,0,0,0,1,0
41291.2,WIDE,0,0.190012,0,0,0,1,0
41333,WIDE,0,0.176234,0,0,0,1,0
41374.7,WIDE,0,0.160075,0,0,0,1,0
41416.4,WIDE,0,0.141535,0,0,0,1,0
41458.1,WIDE,0,0.121016,0,0,0,1,0
41499.8,WIDE,0,0.0994051,0,0,0,1,0
41541.5,WIDE,0,0.0776933,0,0,0,1,0
41583.2,WIDE,0,0.0569276,0,0,0,1,0
41624.9,WIDE,0,0.038165,0,0,0,1,0
41666.6,WIDE,0,0.0224111,0,0,0,1,0
41708.3,WIDE,0,0.01053,0,0,0,1,0
41750,WIDE,0,0.00309721,0,0,0,1,0
41791.8,WIDE,0,0.0001068,0,0,0,1,0
41833.5,WIDE,0,3.68277e-06,0,0,0,1,0
41875.2,WIDE,0,1.26992e-07,0,0,0,1,0
41916.9,WIDE,0,4.37904e-09,0,0,0,1,0
41958.6,WIDE,0,1.51001e-10,0,0,0,1,0
42000.3,WIDE,0,5.20694e-12,0,0,0,1,0
42042,WIDE,0,1.7955e-13,0,0,0,1,0
42083.7,WIDE,0,6.19137e-15,0,0,0,1,0
42125.4,WIDE,0,2.13496e-16,0,0,0,1,0
42167.1,WIDE,0,7.36192e-18,0,0,0,1,0
42208.8,WIDE,0,2.53859e-19,0,0,0,1,0
42250.5,WIDE,0,8.75376e-21,0,0,0,1,0
42292.2,WIDE,0,3.01854e-22,0,0,0,1,0
42334,WIDE,0,1.04088e-23,0,0,0,1,0
42375.7,WIDE,0,3.58923e-25,0,0,0,1,0
42417.4,WIDE,0,1.23766e-26,0,0,0,1,0
42459.1,WIDE,0,4.26781e-28,0,0,0,1,0
42500.8,WIDE,0,1.47166e-29,0,0,0,1,0
42542.5,WIDE,0,5.07468e-31,0,0,0,1,0
42584.2,WIDE,0,1.74989e-32,0,0,0,1,0
42625.9,WIDE,0,6.03411e-34,0,0,0,1,0
